| table_name    | column_name       |
| ------------- | ----------------- |
| daily_tasks   | id                |
| daily_tasks   | user_id           |
| daily_tasks   | subject_id        |
| daily_tasks   | title             |
| daily_tasks   | task_date         |
| daily_tasks   | priority          |
| daily_tasks   | notes             |
| daily_tasks   | completed         |
| daily_tasks   | completed_at      |
| daily_tasks   | created_at        |
| daily_tasks   | updated_at        |
| daily_tasks   | description       |
| daily_tasks   | estimated_time    |
| daily_tasks   | estimated_minutes |
| exams         | id                |
| exams         | user_id           |
| exams         | name              |
| exams         | exam_date         |
| exams         | description       |
| exams         | created_at        |
| exams         | updated_at        |
| monthly_goals | id                |
| monthly_goals | user_id           |
| monthly_goals | title             |
| monthly_goals | goal_month        |
| monthly_goals | description       |
| monthly_goals | completed         |
| monthly_goals | completed_at      |
| monthly_goals | created_at        |
| monthly_goals | updated_at        |
| notes         | id                |
| notes         | user_id           |
| notes         | title             |
| notes         | content           |
| notes         | subject_id        |
| notes         | created_at        |
| notes         | updated_at        |
| profiles      | id                |
| profiles      | full_name         |
| profiles      | email             |
| profiles      | avatar_url        |
| profiles      | created_at        |
| profiles      | updated_at        |
| site_updates  | id                |
| site_updates  | title             |
| site_updates  | content           |
| site_updates  | created_at        |
| site_updates  | published         |
| study_days    | id                |
| study_days    | user_id           |
| study_days    | study_date        |
| study_days    | tasks_completed   |
| study_days    | created_at        |
| study_streaks | user_id           |
| study_streaks | current_streak    |
| study_streaks | longest_streak    |
| study_streaks | last_study_date   |
| study_streaks | updated_at        |
| subjects      | id                |
| subjects      | user_id           |
| subjects      | name              |
| subjects      | created_at        |
| topics        | id                |
| topics        | user_id           |
| topics        | subject_id        |
| topics        | title             |
| topics        | completed         |
| topics        | completed_at      |
| topics        | created_at        |
| topics        | updated_at        |
